INSTNM,STABBR
Sanford-Brown College-San Antonio,TX
Heritage College-Wichita,KS
Heritage College-Little Rock,AR
Argosy University-Phoenix Online Division,AZ
MedTech College-Greenwood Campus,IN
MedTech College-Ft Wayne Campus,IN
MedTech College-Lexington Campus,KY
ITT Technical Institute-Madison,MS
ITT Technical Institute-Springfield,MO
ITT Technical Institute-Huntington,WV
ITT Technical Institute-Concord,CA
ITT Technical Institute-Fort Myers,FL
ITT Technical Institute-Charlotte North,NC
Fortis College-Salt Lake City,UT
Polytechnic University of Puerto Rico-Miami,FL
Polytechnic University of Puerto Rico-Orlando,FL
Ross Medical Education Center-Fort Wayne,IN
Ross Medical Education Center-Portage,MI
The Commonwealth Medical College,PA
Josef's West Academy,ND
Northeast Technology Center-Claremore,OK
Salon Success Academy-Fontana,CA
Salon Success Academy-Redlands,CA
Brown Mackie College-Phoenix,AZ
Strayer University-West Virginia,WV
Regency Beauty Institute-Tinley Park,IL
Regency Beauty Institute-Columbia,SC
Regency Beauty Institute-South Bend,IN
Regency Beauty Institute-Detroit Lakeside,MI
Regency Beauty Institute-Fort Myers,FL
Regency Beauty Institute-Arlington,TX
Regency Beauty Institute-Durham,NC
Minnesota School of Business-Elk River,MN
Brown Mackie College-Greenville,SC
Globe University-Sioux Falls,SD
Globe University-Eau Claire,WI
Vanguard College of Cosmetology-Baton Rouge,LA
Globe University-Minneapolis,MN
Beauty Schools of America-Homestead,FL
South Texas Vocational Technical Institute-Brownsville,TX
South Texas Vocational Technical Institute-Corpus Christi,TX
L'Ecole Culinaire-Memphis,TN
University of Minnesota-Rochester,MN
Health And Style Institute,NC
College of Business and Technology-Cutler Bay,FL
American National University-Columbus,OH
Herzing University-Toledo,OH
Capri Beauty College,IL
Milan Institute-Bakersfield,CA
Homestead Schools,CA
Carrington College-Las Vegas,NV
Carrington College-Reno,NV
Chamberlain College of Nursing-Florida,FL
Remington College-Columbia Campus,SC
Remington College of Nursing Orlando,FL
Washington Barber College Inc,AR
InterCoast Colleges-Elk Grove,CA
Horizon University,CA
San Diego Culinary Institute,CA
Beyond 21st Century Beauty Academy,CA
Academy for Jewish Religion-California,CA
Angeles College,CA
Angeles Institute,CA
Paul Mitchell the School-Temecula,CA
European Academy of Cosmetology and Hairdressing,CT
International Institute of Cosmetology,CT
Florida School of Traditional Midwifery,FL
Emerald Coast Technical College,FL
Immokalee Technical College,FL
American Academy of Cosmetology,FL
University of Fort Lauderdale,FL
Aviation Institute of Maintenance-Orlando,FL
Summit Salon Academy,FL
Summit Salon Academy-Gainesville,FL
Tenaj Salon Institute,FL
Profile Institute of Barber-Styling,GA
Keune Academy by 124,GA
Pacific Rim Christian University,HI
D & L Academy of Hair Design,ID
Master Educators Beauty School,ID
Ambria College of Nursing,IL
Midwestern Career College,IL
Paul Mitchell the School-Normal,IL
Innovations Design Academy,IL
Aveda Fredric's Institute-Indianapolis,IN
The Salon Professional Academy-Anderson,IN
Eric Fisher Academy,KS
A & W Healthcare Educators,LA
My Le's Beauty College,LA
Blackstone Valley Vocational Regional School District,MA
Southern Worcester County Regional Voc School District,MA
L'esprit Academy,MI
Marketti Academy of Cosmetology,MI
CenterPoint Massage and Shiatsu Therapy School and Clinic,MN
Avalon School of Cosmetology,MN
American Business and Technology University,MO
City Vision University,MO
Transformed Barber and Cosmetology Academy,MO
Bitterroot School of Cosmetology,MT
Atlanta Beauty & Barber Academy,GA
Montana Academy of Salons,MT
Park West Barber School,NC
National Career Institute,NJ
Toni & Guy Hairdressing Academy-Albuquerque,NM
International Academy of Style,NV
EDP School of Computer Programming,NY
New York Medical Career Training Center,NY
Institute of Culinary Education,NY
New Life Business Institute,NY
The Salon Professional Academy-Tonawanda,NY
Onondaga School of Therapeutic Massage-Syracuse,NY
Academy of Cosmetology and Esthetics NYC,NY
Finger Lakes School of Massage,NY
Four County Career Center,OH
Vanity School of Cosmetology,OH
Summit Salon Academy-Perrysburg,OH
Portland Actors Conservatory,OR
Somerset County Technology Center,PA
Metro Beauty Academy,PA
Barone Beauty Academy,PA
Academy for Careers and Technology,SC
Aiken School of Cosmetology,SC
Love Beauty School Inc,TN
Professional Career Training Institute,TX
Cannon Institute of Higher Learning,TX
Cardiotech Ultrasound School,TX
DuVall's School of Cosmetology,TX
Advanced Beauty College,TX
Texas Beauty College,TX
Avenue Five Institute,TX
The Salon Professional Academy-Lewisville,TX
Renaissance Academie,UT
Bethel College,VA
Institute of Advanced Medical Esthetics,VA
Gary Manuel Aveda Institute,WA
Northwest School of Wooden Boat Building,WA
Pinchot University,WA
The Salon Professional Academy-Onalaska,WI
Regency Beauty Institute-North Tucson,AZ
Brightwood College-Chula Vista,CA
InterCoast Colleges-Roseville,CA
West Coast University-Orange County,CA
West Coast University-Ontario,CA
Dade Medical College-Homestead,FL
Virginia College-Augusta,GA
Midwest Technical Institute-East Peoria,IL
Paul Mitchell the School-Chicago,IL
Brightwood College-Indianapolis,IN
Regency Beauty Institute-Evansville,IN
Regency Beauty Institute-Shreveport,LA
Regency Beauty Institute-Springfield,MO
Regency Beauty Institute-Canton,OH
Regency Beauty Institute-Spartanburg,SC
Regency Beauty Institute-Chattanooga,TN
Regency Beauty Institute-Mesquite,TX
Dorsey Business Schools-Waterford Pontiac,MI
Regina's College of Beauty-High Point,NC
Miller-Motte College-Fayetteville,NC
Drake College of Business-Newark,NJ
European Massage Therapy School-Las Vegas,NV
Harrison College-Grove City,OH
Miller-Motte Technical College-Columbus,GA
National University College-Ponce,PR
Fortis College-Grand Prairie,TX
Paul Mitchell the School-St George,UT
The Art Institute of Virginia Beach,VA
Bryant & Stratton College-Bayshore,WI
Daymar College-Online,KY
Virginia College-Columbia,SC
Fortis College-Indianapolis,IN
Brightwood College-Arlington,TX
Brightwood College-Charlotte,NC
Kaplan College-Jacksonville,FL
Globe University-Madison East,WI
Minnesota School of Business-Lakeville,MN
Globe University_Green Bay,WI
Globe University_Madison West,WI
Globe University_Wausau,WI
Dade Medical College-Hollywood,FL
Empire Beauty School-E Memphis,TN
Empire Beauty School-Nashville,TN
Empire Beauty School-Jackson,TN
Empire Beauty School-Springfield,PA
Empire Beauty School-Paramus,NJ
Empire Beauty School-Speedway,IN
Empire Beauty School-Morrow,GA
Strayer University-Arkansas,AR
Strayer University-Georgia,GA
Strayer University-Louisiana,LA
Strayer University-Mississippi,MS
Strayer University-South Carolina,SC
Strayer University-Texas,TX
The Art Institute of San Antonio,TX
Globe University-La Crosse,WI
The Hair Design School-S Memphis,TN
The Hair Design School-Charlotte,NC
The Hair Design School-E Greensboro,NC
The Hair Design School-Winston-Salem,NC
Empire Beauty School-West Palm,FL
Empire Beauty School-Pineville,NC
The Hair Design School-N Memphis,TN
Virginia Tech Carilion School of Medicine,VA
Broadview Entertainment Arts University,UT
Bryant & Stratton College-Hampton,VA
Paul Mitchell the School-Phoenix,AZ
All Beauty College,AZ
Northern California Institute of Cosmetology Inc,CA
Golden State College of Court Reporting,CA
Preferred College of Nursing-Los Angeles,CA
Trinity School of Health and Allied Sciences,CA
Paul Mitchell the School-Modesto,CA
Cosmo Beauty Academy,CA
Paul Mitchell the School-Fresno,CA
Unitek College,CA
Gurnick Academy of Medical Arts,CA
Southern California University SOMA,CA
Paul Mitchell the School-East Bay,CA
South University_Richmond,VA
South University_Virginia Beach,VA
Aveda Institute-Denver,CO
Paul Mitchell the School-Colorado Springs,CO
The Salon Professional Academy-Colorado Springs,CO
Paul Mitchell the School-Delaware,DE
Future-Tech Institute,FL
Marchman Technical Education Center,FL
Eureka Institute of Health and Beauty,FL
The Salon Professional Academy-Ft Myers,FL
SOLEX College,IL
Unity Cosmetology College,IL
Universal Spa Training Academy,IL
The Salon Professional Academy-Evansville,IN
Tri County Regional Vocational Technical High School,MA
Compass College of Cinematic Arts,MI
Nova Academy of Cosmetology,MN
Victory Trade School,MO
Starting Points Inc,NJ
The Lab-Paul Mitchell Partner School,NJ
SAE Institute of Technology-New York,NY
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,NY
The Artisan College of Cosmetology,OH
Sage School of Massage,OR
Peloton College,TX
ABC Beauty Academy,TX
Salon & Spa Institute,TX
American Beauty Academy,UT
Summit Salon Academy,WA
Academy of Cosmetology,WA
The Academy Waukesha,WI
ITT Technical Institute-Merrillville,IN
ITT Technical Institute-Tallahassee,FL
ITT Technical Institute-Salem,VA
ITT Technical Institute-Akron,OH
ITT Technical Institute-Cedar Rapids,IA
ITT Technical Institute-Corona,CA
ITT Technical Institute-Johnson City,TN
ITT Technical Institute-DeSoto,TX
ITT Technical Institute-North Charleston,SC
ITT Technical Institute-Aurora,CO
ITT Technical Institute-West Covina,CA
ITT Technical Institute-Culver City,CA
ITT Technical Institute-Dearborn,MI
ITT Technical Institute-Las Vegas,NV
Touro University Worldwide,CA
Touro University California,CA
The Chicago School of Professional Psychology at Washington DC,DC
Touro University Nevada,NV
National College-Willoughby Hills,OH
Herzing University-Kenosha,WI
Herzing University-Brookfield,WI
Heald College-Modesto,CA
Fortis Institute-Houston,TX
Southern Careers Institute-Brownsville,TX
Southern Careers Institute-Harlingen,TX
Strayer University-Global Region,DC
Regina's College of Beauty-Charlotte,NC
Kenneth Shuler School of Cosmetology-Florence,SC
Fortis College-Columbia,SC
Brown Mackie College-Albuquerque,NM
Brown Mackie College-St Louis,MO
Avant Gard The School,IN
The Beauty Institute-Schwarzkopf Professional-Bellingham,WA
California University of Management and Sciences,CA
Ross Medical Education Center-Davison,MI
Ross Medical Education Center-Granger,IN
Ross Medical Education Center-Niles,OH
Ross Medical Education Center-Canton,MI
Pima Medical Institute-Houston,TX
Illinois Media School-Chicago Campus,IL
Concorde Career College-Dallas,TX
Concorde Career Institute-Orlando,FL
Concorde Career College-San Antonio,TX
Ecotech Institute,CO
Johnson & Wales University-Online,RI
Everest College-Fort Worth South,TX
Everest College-Santa Ana,CA
Moreno Valley College,CA
Hair Design Institute at Fifth Avenue-New York,NY
Onondaga School of Therapeutic Massage-Rochester,NY
Norco College,CA
Daymar College-Louisville,KY
Dorsey Business Schools-Saginaw,MI
Milan Institute of Cosmetology-La Quinta,CA
Milan Institute-Nampa,ID
Milan Institute of Cosmetology-El Paso,TX
Universal Technical Institute - Dallas Fort Worth,TX
Finger Lakes School of Massage,NY
Park Avenue School of Cosmetology,MN
Salter School of Nursing and Allied Health,NH
Salter School-New Bedford,MA
Harris School of Business-Upper Darby Campus,PA
Brown Mackie College-San Antonio,TX
Hollywood Institute of Beauty Careers,FL
Cortiva Institute-New Jersey,NJ
Cambridge Junior College-Woodland,CA
ICPR Junior College-Manati,PR
Ridley-Lowell Business & Technical Institute-Danbury,CT
Artistic Nails and Beauty Academy-Lakeland,FL
Paul Mitchell the School-Murfreesboro,TN
Allied American University,CA
American Sentinel University,CO
Tribeca Flashpoint College,IL
Hawaii Medical College,HI
Carolina College of Hair Design,NC
Virginia College-Baton Rouge,LA
Remington College-Heathrow Campus,FL
College of Massage Therapy,ID
Miller-Motte College-Jacksonville,NC
Miller-Motte Technical College-Augusta,GA
Miller-Motte Technical College-Conway,SC
Virginia College-Macon,GA
Virginia College-Spartanburg,SC
Aveda Institute-Portland,OR
Chamberlain College of Nursing-Virginia,VA
Stevens-Henager College,ID
Summit Salon Academy-Cincinnati,OH
Penrose Academy,AZ
Virginia College-Richmond,VA
Skin Institute,MO
Northwest Institute of Literary Arts,WA
Body Therapy Institute,NC
Beauty Academy of South Florida,FL
Ogle School Hair Skin Nails-North Dallas,TX
The Salon Professional Academy-North Little Rock,AR
The Salon Professional Academy-St Charles,MO
American College for Medical Careers,FL
Mildred Elley-New York Campus,NY
National Paralegal College,AZ
Carolina College of Biblical Studies,NC
Star Career Academy-Audubon,PA
Allstate Hairstyling & Barber College,OH
Oxford Graduate School,TN
Jung Tao School of Classical Chinese Medicine,NC
New York Film Academy,CA
The Collective School Of Music,NY
International College of Cosmetology,CA
Bella Capelli Academy,PA
Institute of Medical Careers,PA
Toni & Guy Hairdressing Academy-Modesto,CA
Georgia Christian University,GA
Flagler Technical Institute,FL
Galaxy Medical College,CA
American Medical Sciences Center,CA
Mandalyn Academy,UT
Jose Maria Vargas University,FL
Laird Institute of Spa Therapy,NH
D A Dorsey Technical College,FL
Keweenaw Bay Ojibwa Community College,MI
Meridian Institute of Surgical Assisting,TN
Mauna Loa Helicopters,HI
Acaydia School of Aesthetics,UT
Manhattan Institute,NY
Cosmetic Arts Institute,SC
Holistic Massage Training Institute,MD
Diamonds Cosmetology College,TX
Tramy Beauty School,CA
Northern Virginia School of Therapeutic Massage,VA
Paul Mitchell the School-St Louis,MO
Advanced Training Institute,NV
Cosmopolitan Beauty and Tech School,VA
Salon 496 Barber Academy,SC
Shepherds Theological Seminary,NC
Taylor Andrews Academy of Hair Design-West Jordan,UT
Santa Ana Beauty Academy,CA
Grace College of Divinity,NC
Cosmetology College of Franklin County,MO
Rochester School of Hair Design,MN
Aveda Institute-New Mexico,NM
Nashville Barber and Style Academy,TN
American Trade School,MO
Estelle Skin Care and Spa Institute,IL
Paul Mitchell the School-Honolulu,HI
Elite Cosmetology School,CA
American Technical Institute,PR
Bergin University of Canine Studies,CA
Aveda Institute-Boise,ID
American Health Institute,FL
Pima Medical Institute-Aurora,CO
Real Barbers College,CA
Capilo School of Hair Design,ME
Pure Aesthetics,AZ
Lindsey Institute of Cosmetology,KY
The Salon Professional Academy-Iowa City,IA
Buckner Barber School,TX
Simmons College of Kentucky,KY
Atelier Esthetique Institute of Esthetics,NY
Ashdown College of Health Sciences,CA
Advanced College of Cosmetology,WI
North American University,TX
Entourage Institute of Beauty and Esthetics,KS
United Beauty College,CO
Cinta Aveda Institute,CA
Long Island Nail & Skin Care Institute,NY
Mesivta Keser Torah,NJ
Southern California Health Institute,CA
Best Care Training Institute,NJ
First Class Cosmetology School,WI
Millennia Atlantic University,FL
Abcott Institute,MI
The Salon Professional Academy-Kenosha,WI
Paul Mitchell the School-Indianapolis,IN
Taylor Andrews Academy-St George,UT
Seymour Beauty Academy,MO
Protege Academy,MI
Colorado Academy of Veterinary Technology,CO
Northeast Technical Institute,ME
Salinas Beauty College Inc,CA
Academy for Salon Professionals,CA
Elite School of Cosmetology,OH
Paul Mitchell the School-Las Vegas,NV
The Salon Professional Academy-Kokomo,IN
Hair Academy,AL
Florida Academy,FL
Institute for Doctoral Studies in the Visual Arts,ME
State Career College,IL
Academy for Salon Professionals,CA
Paul Mitchell The School-Spokane,WA
J Renee College,IL
National Personal Training Institute of Colorado,CO
National Personal Training Institute of Colorado,CO
International College of Beauty Arts & Sciences,CA
The Salon Professional Academy-Shorewood,IL
John Paul the Great Catholic University,CA
ITT Technical Institute-Durham,NC
ITT Technical Institute-Hanover,MD
University of Phoenix-Mississippi,MS
Independence University,UT
National American University-Tulsa,OK
National American University-Centennial,CO
National American University-Lee's Summit,MO
National American University-Colorado Springs South,CO
Globe University-Appleton,WI
Salter College-Chicopee,MA
Chamberlain College of Nursing-Missouri,MO
Chamberlain College of Nursing-Texas,TX
ITT Technical Institute-Oakland,CA
Continental School of Beauty Culture-Mattydale,NY
Everest College-Bedford Park,IL
Fortis College-Akron,OH
Carrington College-Pomona,CA
Regency Beauty Institute-Copperwood,TX
Regency Beauty Institute-Little Rock,AR
Regency Beauty Institute-Baltimore Golden Ring,MD
Regency Beauty Institute-El Paso,TX
Regency Beauty Institute-Jacksonville Regency,FL
Regency Beauty Institute-Knoxville,TN
Regency Beauty Institute-Fayetteville,AR
Regency Beauty Institute-Lansing,MI
Regency Beauty Institute-Jacksonville Orange Park,FL
Regency Beauty Institute-Crystal Lake,IL
Regency Beauty Institute-Manassas,VA
Regency Beauty Institute-Castleton,IN
Regency Beauty Institute-North Nashville,TN
Regency Beauty Institute-Round Rock,TX
Regency Beauty Institute-Merrillville,IN
Regency Beauty Institute-Roanoke,VA
Regency Beauty Institute-Toledo,OH
Regency Beauty Institute-SW Houston,TX
Everest College-Atlanta West,GA
Broadview University-Boise,ID
Advanced Institute of Hair Design-Madison,WI
Paul Mitchell The School-Columbia,SC
Paul Mitchell The School-Charleston,SC
Everest College-Melrose Park,IL
Kenneth Shuler School of Cosmetology-Greenville,SC
South University-Accelerated Graduate Programs,GA
South University-The Art Institute of Fort Worth,TX
South University-Novi,MI
Northwest College-Eugene,OR
Northwest College-Tualatin,OR
Harrison College-Morrisville,NC
Trend Setters' Academy of Beauty Culture-Louisville,KY
National University College-Caguas,PR
Beauty Schools of America,FL
CET-Soledad,CA
MarJon School of Beauty ltd-Lockport,NY
Houston Training Schools-Southwest,TX
Vanguard College of Cosmetology-Metairie,LA
New England Tractor Trailer Training School of Massachusetts,MA
Heritage College-Columbus,OH
Utah College of Massage Therapy-Vegas,NV
Utah College of Massage Therapy-Tempe,AZ
Utah College of Massage Therapy-Phoenix,AZ
Utah College of Massage Therapy-Westminster,CO
Utah College of Massage Therapy-Aurora,CO
Tint School of Makeup and Cosmetology-Grand Prairie,TX
Dewey University-Hatillo,PR
Dewey University-Manati,PR
Baltimore School of Massage-York,PA
Allen School-Phoenix,AZ
Oklahoma Technical College,OK
Midwest Technical Institute-Moline,IL
Star Career Academy-Clifton,NJ
Unitech Training Academy-Alexandria,LA
Unitech Training Academy-Lake Charles,LA
Aveda Institute-Los Angeles,CA
Buchanan Beauty College of Tullahoma,TN
WellSpring School of Allied Health-Lawrence,KS
The Art Institute of Wisconsin,WI
Brown Mackie College-Birmingham,AL
Regina's College of Beauty,GA
Manuel and Theresa's School of Hair Design-Victoria,TX
Coast Career Institute,CA
Tricoci University of Beauty Culture-Chicago NE,IL
ITT Technical Institute-Bradenton,FL
ITT Technical Institute-Phoenix West,AZ
ITT Technical Institute-Brooklyn Center,MN
ITT Technical Institute-Orlando,FL
ITT Technical Institute-Waco,TX
ITT Technical Institute-Myrtle Beach,SC
Azusa Pacific University College,CA
Minneapolis Media Institute,MN
CollegeAmerica-Phoenix,AZ
Stevens-Henager College,ID
Avalon School of Cosmetology-Phoenix,AZ
Avalon School of Cosmetology-Layton,UT
Hair Design Institute,FL
Hair Design Institute,FL
All-State Career School-Allied Health Campus,PA
Aveda Institute-Des Moines,IA
Fortis Institute-Lawrenceville,NJ
Relay Graduate School of Education,NY
Brown Mackie College-Oklahoma City,OK
Miller-Motte Technical College-Macon,GA
Miller-Motte Technical College-Gulfport,MS
International Culinary Center-California,CA
South University_Savannah Online,GA
Fortis College-Montgomery,AL
Miller-Motte Technical College-Roanoke,VA
Whitworth University-Adult Degree Programs,WA
American Broadcasting School-Online Program,OK
Springfield College-School of Professional and Continuing Studies,MA
Marian Health Careers Center-Van Nuys Campus,CA
Sanford-Brown College-Brooklyn Center,MN
Milan Institute-Las Vegas,NV
Virginia College-Savannah,GA
Virginia College-Columbus,GA
Donna's Academy of Hair Design,MO
New York School of Esthetics & Day Spa,NY
Panache Academy of Beauty,WI
ASI Career Institute,NJ
Midwest Technical Institute-Ridgeland,MS
Christine Valmy International School of Esthetics & Cosmetology,NJ
City College-Hollywood,FL
Paul Mitchell the School-Arlington,TX
Rocky Mountain University of Health Professions,UT
MediaTech Institute-Oceanside,CA
Christie's Education,NY
Prince Institute-Great Lakes,IL
Palmetto Beauty School,SC
Paul Mitchell the School-Fort Myers,FL
Paul Mitchell The School-Raleigh,NC
Stella and Charles Guttman Community College,NY
Lil Lou's Barber College,IN
Bryan University,MO
Virginia College-Tulsa,OK
Criswell College,TX
Virginia College-Knoxville,TN
Columbia Academy of Cosmetology,SC
Academy of Couture Art,CA
Global Institute,PR
Reflections Academy of Beauty,IL
University of Cosmetology Arts & Sciences-La Joya,TX
Preferred College of Nursing-Van Nuys,CA
Bryant & Stratton College-Akron,OH
Annenberg School of Nursing,CA
American Medical Academy,FL
Chamberlain College of Nursing-Georgia,GA
Chamberlain College of Nursing-Indiana,IN
Carrington College-Mesquite,TX
Sessions College for Professional Design,AZ
Virginia College-Shreveport Bossier City,LA
Tulsa Welding School-Jacksonville,FL
Regency Beauty Institute-Hoover,AL
Regency Beauty Institute-San Antonio,TX
Regency Beauty Institute-Carrollwood,FL
Regency Beauty Institute-Clearwater,FL
Regency Beauty Institute-Newport News,VA
Regency Beauty Institute-Lewisville,TX
Regency Beauty Institute-Dallas,TX
Regency Beauty Institute-Plano,TX
Empire Beauty School-Virginia Beach,VA
Ross Medical Education Center-Morgantown,WV
Paul Mitchell the School-Ogden,UT
Everest Institute-Bensalem,PA
Golf Academy of America-Farmers Branch,TX
Utah College of Massage Therapy-Dallas,TX
Miami Ad School-New York,NY
Dade Medical College-West Palm Beach,FL
Dade Medical College-Jacksonville,FL
WestMed College,CA
Larry's Barber College,IL
Futura Career Institute,FL
Access Careers,NY
Flair Beauty College,CA
Eternity Cosmetology School,FL
Tri-State Institute of Hair Design,KY
Vogue College of Cosmetology-San Antonio Fredericksburg,TX
Vogue College of Cosmetology,TX
Tomorrow's Image Barber Academy of Virginia,VA
Excel Learning Center,TX
College of International Esthetics Inc,CO
Medical Allied Career Center,CA
Bais HaMedrash and Mesivta of Baltimore,MD
Long Island Barber Institute,NY
Salon Institute-Toledo Campus,OH
American Institute of Medical Sonography,NV
Curve Metric School of Hair Design,IL
Athena Career Academy,OH
Yeshiva Gedolah Zichron Leyma,NJ
The Barber School,UT
Be'er Yaakov Talmudic Seminary,NY
RGV Careers,TX
Alexander Academy,MA
LeMelange Academy of Hair,CA
Aveda Institute-Tucson,AZ
Velvet Touch Academy of Cosmetology,ID
Ambiance Beauty & Barber Academy Inc,FL
Diamond Beauty College,CA
Unitek College,CA
University Academy of Hair Design,AL
Florida Institute of Recording Sound and Technology,FL
New Dimensions Beauty Academy Inc,CO
Jolei's Hair Institute,SC
Paul Mitchell the School-Reno,NV
Boise Barber College,ID
Austin Kade Academy,ID
Aesthetic Science Institute,NY
Elaine Sterling Institute,GA
Wade Gordon Hairdressing Academy,TX
Mitsu Sato Hair Academy,KS
SAE Institute of Technology-Los Angeles,CA
Florida Vocational Institute,FL
SAE Institute of Technology-Atlanta,GA
Academy di Firenze,ID
SAE Institute of Technology-Miami,FL
Colorado State University-Global Campus,CO
Paul Mitchell the School-Overland Park,KS
Medspa Academies,UT
Brighton Institute of Cosmetology,MI
West Coast University-Dallas,TX
Stevens-Henager College,UT
National American University-Bellevue,NE
National American University-Burnsville,MN
National American University-Mesquite,TX
Empire Beauty School-Savannah,GA
Ogle School Hair Skin Nails-Denton,TX
Empire Beauty School-West Greensboro,NC
California College San Diego,CA
Old Town Barber College-Topeka,KS
Jolie Hair and Beauty Academy-Northfield,NJ
Hays Academy of Hair Design,KS
Bellus Academy,KS
Cortiva Institute-Seattle,WA
MotoRing Technical Training Institute,RI
Leon Studio One School of Hair Design & Career Training Center,NY
Columbia College,VA
Unitek College,CA
ITT Technical Institute-Philadelphia,PA
ITT Technical Institute-Marlton,NJ
ITT Technical Institute-Germantown,WI
ITT Technical Institute-Southfield,MI
ITT Technical Institute-West Palm Beach,FL
ITT Technical Institute-Salem,OR
ITT Technical Institute-Deerfield Beach,FL
ITT Technical Institute-Indianapolis East,IN
ITT Technical Institute-Douglasville,GA
ITT Technical Institute-Overland Park,KS
ITT Technical Institute-Springfield,IL
ITT Technical Institute-West Chester,OH
Pennsylvania State University-World Campus,PA
Medical Career Institute,NJ
Advance Beauty Techs Academy,CA
Montage Academy,CO
Brand College,CA
Hinton Barber and Beauty College,CA
Advanced Career Institute,CA
Digital Film Academy,NY
MyComputerCareer.com-Raleigh,NC
Kaplan University-Augusta Campus,ME
South University-Austin,TX
South University-Cleveland,OH
Bryant & Stratton College-Online,NY
Virginia College-Florence,SC
Ogle School Hair Skin Nails-San Antonio,TX
Elizabethtown College School of Continuing and Professional Studies,PA
Fortis College-Cutler Bay,FL
Ideal Beauty Academy,KY
Minnesota School of Cosmetology-Plymouth Campus,MN
Mercyhurst University-North East Campus,PA
Warner Pacific College Adult Degree Program,OR
Platt College-Riverside,CA
Savannah Law School,GA
Empire Beauty School-Glen Burnie,MD
Everest College-Woodbridge,VA
Everest College-Kansas City,MO
International School of Cosmetology-Toni & Guy Hairdressing Academy,AZ
InterCoast Career Institute-Salem,NH
American National University-Canton,OH
Vatterott College-Fairview Heights,IL
Ross Medical Education Center-Dayton,OH
Ross Medical Education Center-Ontario,OH
Ross Medical Education Center-Bowling Green,KY
Florida Institute of Technology-Online,FL
Rasmussen College-Kansas,KS
Columbia Institute,MD
School of Missionary Aviation Technology,MI
Ace Cosmetology and Barber Training Center,CT
Manthano Christian College,MI
California Miramar University,CA
Rocky Vista University,CO
Virginia College-Greensboro,NC
The College of Health Care Professions-Dallas,TX
The College of Health Care Professions-Fort Worth,TX
Shear Finesse Hairstyling Academy,FL
Academy of Salon Professionals,MO
CyberTex Institute of Technology,TX
UEI College-Santa Cruz,CA
New England Tractor Trailer Training School of CT-Bridgeport,CT
Gemini School of Visual Arts & Communication,TX
Designer Barber & Stylist School,AR
Paul Mitchell the School-Woodbridge,VA
College of the Muscogee Nation,OK
The Salon Professional Academy-Huntsville,AL
Midwives College of Utah,UT
Aspen Beauty Academy of Laurel,MD
M T Training Center,TX
Berks Career & Technology Center,PA
Future Generations Graduate School,WV
Carthage R9 School District-Carthage Technical Center,MO
Grace Mission University,CA
PCCTI IT and Healthcare,IL
Sotheby's Institute of Art-NY,NY
Top Nails & Hair Beauty School,UT
Radians College,DC
Santa Ana Beauty College,CA
Shepherds College,WI
Woodruff Medical Training and Testing,GA
Helms College,GA
American Academy of Personal Training,NY
Ukiah Adult School,CA
Riverside County Office of Education,CA
Institute of Health Sciences,MD
Mid-South Christian College,TN
Advanced Computing Institute,CA
New York Institute of Beauty,NY
Ultrasound Medical Institute,FL
Beautiful You School of Nail Technology,UT
Harmon's Beauty School,MD
Xavier College School of Nursing,CA
Lawrence & Company College of Cosmetology,CA
Cactus Academy,NY
Kaizen Beauty Academy,FL
Southern Texas Careers Academy,TX
Sharp Edgez Barber Institute,NY
The Salon Professional Academy-Nashville,TN
Cosmotech School of Cosmetology,ME
Prestige Health & Beauty Sciences Academy,FL
Grace College of Barbering,NC
California Career Institute,CA
Cosmo Factory Cosmetology Academy,CA
Grace School of Theology,TX
Yeshiva Gedolah Kesser Torah,NY
Universal Training Institute,NJ
Yeshiva Yesodei Hatorah,NJ
Rizzieri Institute,NJ
Bonnie Joseph Academy of Cosmetology and Barbering,UT
Healthcare Training Institute,LA
W Academy of Salon and Spa,CA
Boca Beauty Academy,FL
United Medical and Business Institute,GA
Paul Mitchell the School-Jersey Shore,NJ
City Pointe Beauty Academy,MO
The Chrysm Insitute of Esthetics,VA
National Personal Training Institute of Columbus,OH
Bly's School of Cosmetology,FL
Toni & Guy Hairdressing Academy-Manteca,CA
Belle Academy of Cosmetology,CT
Dorsey Business Schools-Lansing,MI
ITT Technical Institute-Pensacola,FL
ITT Technical Institute-San Antonio East,TX
MedTech Institute-Orlando Campus,FL
Tulsa Welding School-Tulsa,OK
Empire Beauty School-Augusta,GA
South University-High Point,NC
Empire Beauty School-Vernon Hills,IL
Empire Beauty School-Stone Park,IL
Court Reporting Institute of St Louis,MO
Ohio Business College-Dayton,OH
Empire Beauty School-Rochester,NY
American Career College-Long Beach,CA
Ross Medical Education Center-Kokomo,IN
Ross Medical Education Center-Erlanger,KY
Ross Medical Education Center-Charleston,WV
L'Ecole Culinaire-Kansas City,MO
Utah College of Massage Therapy-Houston,TX
InterCoast Colleges-Fairfield,CA
Vatterott College-ex'treme Institute by Nelly-St Louis,MO
Southern Careers Institute-San Antonio,TX
College of Business and Technology-Miami Gardens,FL
Milan Institute of Cosmetology-Nampa,ID
Milan Institute-Merced,CA
Midwest Technical Institute-Springfield,MO
Finger Lakes School of Massage,MD
Augusta University,GA
Middle Georgia State University,GA
Trenz Beauty Academy,IL
